product_id,product_name,category,date,sales,inventory,price
P-001,CocaCola500ml,Beverages,2023-01-01,20,200,40
P-001,CocaCola500ml,Beverages,2023-01-02,18,190,40
P-001,CocaCola500ml,Beverages,2023-01-03,22,185,40
P-001,CocaCola500ml,Beverages,2023-01-04,19,180,40
P-001,CocaCola500ml,Beverages,2023-01-05,25,170,40
P-001,CocaCola500ml,Beverages,2023-01-06,27,160,40
P-001,CocaCola500ml,Beverages,2023-01-07,30,150,40
P-001,CocaCola500ml,Beverages,2023-01-08,28,140,40
P-001,CocaCola500ml,Beverages,2023-01-09,26,135,40
P-001,CocaCola500ml,Beverages,2023-01-10,24,130,40
P-001,CocaCola500ml,Beverages,2023-01-11,23,125,40
P-001,CocaCola500ml,Beverages,2023-01-12,25,120,40
P-001,CocaCola500ml,Beverages,2023-01-13,27,115,40
P-001,CocaCola500ml,Beverages,2023-01-14,32,110,40
P-001,CocaCola500ml,Beverages,2023-01-15,35,100,40

P-002,LaysChips,Snacks,2023-01-01,15,150,20
P-002,LaysChips,Snacks,2023-01-02,14,140,20
P-002,LaysChips,Snacks,2023-01-03,18,135,20
P-002,LaysChips,Snacks,2023-01-04,16,130,20
P-002,LaysChips,Snacks,2023-01-05,20,120,20
P-002,LaysChips,Snacks,2023-01-06,22,115,20
P-002,LaysChips,Snacks,2023-01-07,25,110,20
P-002,LaysChips,Snacks,2023-01-08,23,105,20
P-002,LaysChips,Snacks,2023-01-09,21,100,20
P-002,LaysChips,Snacks,2023-01-10,20,95,20
P-002,LaysChips,Snacks,2023-01-11,19,90,20
P-002,LaysChips,Snacks,2023-01-12,21,85,20
P-002,LaysChips,Snacks,2023-01-13,23,80,20
P-002,LaysChips,Snacks,2023-01-14,26,75,20
P-002,LaysChips,Snacks,2023-01-15,28,70,20

P-003,AmulMilk1L,Dairy,2023-01-01,30,300,60
P-003,AmulMilk1L,Dairy,2023-01-02,28,290,60
P-003,AmulMilk1L,Dairy,2023-01-03,32,280,60
P-003,AmulMilk1L,Dairy,2023-01-04,29,270,60
P-003,AmulMilk1L,Dairy,2023-01-05,35,260,60
P-003,AmulMilk1L,Dairy,2023-01-06,37,250,60
P-003,AmulMilk1L,Dairy,2023-01-07,40,240,60
P-003,AmulMilk1L,Dairy,2023-01-08,38,230,60
P-003,AmulMilk1L,Dairy,2023-01-09,36,225,60
P-003,AmulMilk1L,Dairy,2023-01-10,34,220,60
P-003,AmulMilk1L,Dairy,2023-01-11,33,215,60
P-003,AmulMilk1L,Dairy,2023-01-12,35,210,60
P-003,AmulMilk1L,Dairy,2023-01-13,37,205,60
P-003,AmulMilk1L,Dairy,2023-01-14,42,200,60
P-003,AmulMilk1L,Dairy,2023-01-15,45,190,60

P-004,BreadLoaf,Bakery,2023-01-01,12,120,25
P-004,BreadLoaf,Bakery,2023-01-02,11,115,25
P-004,BreadLoaf,Bakery,2023-01-03,13,110,25
P-004,BreadLoaf,Bakery,2023-01-04,12,105,25
P-004,BreadLoaf,Bakery,2023-01-05,14,100,25
P-004,BreadLoaf,Bakery,2023-01-06,15,95,25
P-004,BreadLoaf,Bakery,2023-01-07,18,90,25
P-004,BreadLoaf,Bakery,2023-01-08,17,85,25
P-004,BreadLoaf,Bakery,2023-01-09,16,80,25
P-004,BreadLoaf,Bakery,2023-01-10,15,75,25
P-004,BreadLoaf,Bakery,2023-01-11,14,70,25
P-004,BreadLoaf,Bakery,2023-01-12,15,65,25
P-004,BreadLoaf,Bakery,2023-01-13,17,60,25
P-004,BreadLoaf,Bakery,2023-01-14,19,55,25
P-004,BreadLoaf,Bakery,2023-01-15,21,50,25
